HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Tue Nov 17 15:32:49 PST 2020,Tue Nov 17 15:57:42 PST 2020,Fri Nov 20 15:57:42 PST 2020,Fri Nov 20 15:57:45 PST 2020,,,1493,100% (5/5),100% (1/1),100% (1/1),611066545,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Tue Nov 17 15:32:26 PST 2020,Tue Nov 17 15:52:05 PST 2020,Fri Nov 20 15:52:05 PST 2020,Fri Nov 20 15:52:45 PST 2020,,,1179,100% (3/3),100% (3/3),100% (2/2),910198227,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Wed Nov 18 15:34:25 PST 2020,Thu Nov 19 03:45:04 PST 2020,Sun Nov 22 03:45:04 PST 2020,Sun Nov 22 03:45:18 PST 2020,,,43839,100% (1/1),100% (1/1),100% (1/1),193859743,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Fri Nov 20 04:49:55 PST 2020,Fri Nov 20 04:59:34 PST 2020,Mon Nov 23 04:59:34 PST 2020,Sun Nov 22 16:35:07 PST 2020,,,579,100% (4/4),100% (2/2),100% (1/1),377959288,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Tue Nov 17 15:51:10 PST 2020,Tue Nov 17 17:36:51 PST 2020,Fri Nov 20 17:36:51 PST 2020,Fri Nov 20 17:37:45 PST 2020,,,6341,100% (7/7),100% (1/1),100% (1/1),844288492,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Tue Nov 17 15:32:26 PST 2020,Tue Nov 17 15:43:28 PST 2020,Fri Nov 20 15:43:28 PST 2020,Fri Nov 20 15:43:45 PST 2020,,,662,100% (7/7),100% (1/1),100% (1/1),400628888,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Tue Nov 17 15:32:27 PST 2020,Tue Nov 17 18:45:36 PST 2020,Fri Nov 20 18:45:36 PST 2020,Fri Nov 20 18:45:45 PST 2020,,,11589,100% (1/1),100% (1/1),100% (1/1),78912117,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Wed Nov 18 14:53:27 PST 2020,Wed Nov 18 17:30:04 PST 2020,Sat Nov 21 17:30:04 PST 2020,Sat Nov 21 17:30:14 PST 2020,,,9397,100% (1/1),100% (1/1),100% (1/1),78917482,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Fri Nov 20 12:32:05 PST 2020,Sat Nov 21 07:47:03 PST 2020,Tue Nov 24 07:47:03 PST 2020,Sun Nov 22 16:35:08 PST 2020,,,69298,100% (3/3),100% (3/3),100% (1/1),449525863,,
35F6NGNVM8JM24YTCLOXRRMH21X7TL,3JHC69GP0L9KO2XWVVF19JJOG0TD51,"Make probability judgments about pilots and flight attendants (~7min, $0.85)",This is a short psychology survey asking you to make judgments about pilots and flight attendants,"survey, short, cognitive science, psychology",$0.85 ,Tue Nov 17 15:31:58 PST 2020,38,BatchId:4254044;OriginalHitTemplateId:920937340;,86400,259200,Tue Nov 24 15:31:58 PST 2020,,,Approved,Wed Nov 18 16:14:36 PST 2020,Thu Nov 19 15:34:16 PST 2020,Sun Nov 22 15:34:16 PST 2020,Sun Nov 22 15:34:21 PST 2020,,,83980,100% (2/2),100% (2/2),100% (1/1),368141547,,
