StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,prior_1,prior_2,posteriorM_1,posteriorM_2,likelihoodMpilot_1,likelihoodMnotpilot_1,fairM,justM,accurateM,intelligentM,Q45,posteriorW_1,posteriorW_2,likelihoodWpilot_1,likelihoodWnotpilot_1,fairW,justW,accurateW,intelligentW,Q46,age,gender,gender_4_TEXT,Q50,Q24
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Imagine a man and a woman who both work for the same airline in the United States. One person is a pilot and the other person is a flight attendant, but you don't know which person has which job. Please guess the answers to both the questions below. 
Because there are two hypotheses—either one of them is the pilot (and the other is the flight attendant)—both estimates have to sum to 100%. Don't worry about doing the math, once you position the first slider, the second slider will only allow you to enter enough so that they both add up to 100% - Chance that the man is the pilot","Imagine a man and a woman who both work for the same airline in the United States. One person is a pilot and the other person is a flight attendant, but you don't know which person has which job. Please guess the answers to both the questions below. 
Because there are two hypotheses—either one of them is the pilot (and the other is the flight attendant)—both estimates have to sum to 100%. Don't worry about doing the math, once you position the first slider, the second slider will only allow you to enter enough so that they both add up to 100% - Chance that the woman is the flight attendant","Once again, please indicate the percentage (%) chance that you think the man is the pilot, and the woman is the flight attendant. 
Remember, both estimates have to sum up to 100% - Chance that the man is the pilot","Once again, please indicate the percentage (%) chance that you think the man is the pilot, and the woman is the flight attendant. 
Remember, both estimates have to sum up to 100% - Chance that the woman is the flight attendant","In the United States, what percentage of male pilots communicate with air traffic control during a flight?","In the United States, what percentage of male flight attendants communicate with air traffic control during a flight?",How fair do you think person X's statement was?,How just do you think person X's statement was?,How accurate do you think person X's statement was?,How intelligent do you think person X's statement was?,"Previously, you learned about Person X, who made the following statement: ""Even if the man had not performed surgery, the man would still be MORE likely to be pilot than the woman.""What impression do you have of Person X and/or the statement this person made?","Once again, please indicate the percentage (%) chance that you think the man is the pilot and the woman is the flight attendant. 
Remember, both estimates have to sum up to 100% - Chance that the man is the pilot","Once again, please indicate the percentage (%) chance that you think the man is the pilot and the woman is the flight attendant. 
Remember, both estimates have to sum up to 100% - Chance that the woman is the flight attendant","In the United States, what percentage of female pilots communicate with air traffic control during a flight?","In the United States, what is the percentage of female flight attendants communicate with air traffic control during a flight?",How fair do you think person X's statement was?,How just do you think person X's statement was?,How accurate do you think person X's statement was?,How intelligent do you think person X's statement was?,"Previously, you learned about Person X, who made the following statement: Even though the woman communicated with air traffic control, the man is MORE likely to be a pilot than the woman.” What impression do you have of Person X and/or the statement this person made?",What is your age,What is your gender? - Selected Choice,What is your gender? - Other (please indicate) - Text,What is your highest level of education?,Please leave any feedback or constructive comments about the study in the space below (if any)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_4_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID24_TEXT""}"
10/17/20 14:12,10/17/20 14:17,1,100,302,1,10/17/20 14:17,R_3JLBQk7syl8DMjV,preview,EN,63,37,,,,,,,,,,24,76,77,4,3,2,3,3,,,,,,
10/17/20 14:43,10/17/20 14:51,0,100,486,1,10/17/20 14:51,R_O9IiaChWx9fnKGR,anonymous,EN,80,20,,,,,,,,,,50,50,100,60,5,5,3,3,,27,1,,,sent over slack
10/17/20 14:49,10/17/20 14:53,0,100,219,1,10/17/20 14:53,R_1Q9q0tz5askRn1h,anonymous,EN,55,45,,,,,,,,,,0,100,45,0,4,4,4,4,,25,2,,,"I forgot what the person's quote was when I was filling out whether it was fair vs. unfair, etc., so I remember mostly, but would have liked it to stay at the top so I could keep looking at it just in case.  The age was making me fill out 4 characters."
10/17/20 15:10,10/17/20 15:18,0,100,477,1,10/17/20 15:18,R_1pMOND2fH1D1EBG,anonymous,EN,80,20,85,15,80,5,6,6,6,6,,,,,,,,,,,29,1,,,"For the question that says ""What percentage of men who are not pilots communicate with air traffic control?"", you might want to clarify that you are asking about what percentage of men ""who work at airports"" and who are not pilots... if that is what the question is asking."
10/17/20 15:46,10/17/20 15:48,0,100,146,1,10/17/20 15:48,R_1OVa9vJNpBmy6xk,anonymous,EN,80,20,91,9,100,20,7,6,7,6,,,,,,,,,,,25,2,,,is there a way to force the percentage sliders to always add to 100? (It was annoying to move one to make them add up)
10/17/20 15:46,10/17/20 15:49,0,100,215,1,10/17/20 15:49,R_30pZUD9Nzup10tx,anonymous,EN,60,40,31,69,100,,3,3,3,2,,,,,,,,,,,21,2,,,"I believe there's a typo ""Eve"" instead of ""Even""; I would also suggest asking participants about their gender as opposed to sex and offering more choices (or a fill in choice) if possible"
10/17/20 15:53,10/17/20 15:56,0,100,154,1,10/17/20 15:56,R_2yeZLXcg7HDoTfk,anonymous,EN,81,19,80,20,60,50,5,5,5,5,,,,,,,,,,,34,2,,,
10/17/20 15:58,10/17/20 16:00,0,100,143,1,10/17/20 16:00,R_Rrvh6bXX8yrglfb,anonymous,EN,80,20,,,,,,,,,,10,90,90,10,4,4,4,4,,25,1,,,
10/17/20 18:04,10/17/20 18:09,0,100,312,1,10/17/20 18:09,R_1mIe8Xqs8cJPjh4,anonymous,EN,60,40,60,40,100,80,4,4,3,4,,,,,,,,,,,26,2,,,"I'm completely unfamiliar with how pilots and airport employees communicate with air traffic control, so I was unsure if communicating with air traffic control was something everyone does, or only pilots. "
10/18/20 9:55,10/18/20 9:57,0,100,136,1,10/18/20 9:57,R_3soADNhiKrix3g2,anonymous,EN,70,30,90,10,100,5,3,3,5,4,,,,,,,,,,,23,1,,,The phrasing of the hypothetical was a bit confusing - had to reread a couple of times!
10/18/20 21:17,10/18/20 21:18,0,100,50,1,10/18/20 21:18,R_23d9tjqrN3qKKzi,anonymous,EN,37,63,40,60,52,15,4,3,2,3,test,,,,,,,,,,te,1,,18,test
