,StartDate,EndDate,ResponseId,MTurkID,X1.lk_1,X1.lk_2,X1.prior_1,X1.prior_3,X1.post_1,X1.post_2,X2.prior_1,X2.prior_3,X2.post_1,X2.post_2,X2.lk_1,X2.lk_2,X7.lk_1,X7.lk_2,X7.prior_1,X7.prior_3,X7.post_1,X7.post_2,X8.prior_1,X8.prior_3,X8.post_1,X8.post_2,X8.lk_1,X8.lk_2,X13.lk_1,X13.lk_2,X13.prior_1,X13.prior_3,X13.post_1,X13.post_2,X14.prior_1,X14.prior_3,X14.post_1,X14.post_2,X14.lk_1,X14.lk_2,X19.lk_1,X19.lk_2,X19.prior_1,X19.prior_3,X19.post_1,X19.post_2,X20.prior_1,X20.prior_3,X20.post_1,X20.post_2,X20.lk_1,X20.lk_2,c1.self,c1.intel,c1.acc,c1.fair,c1.just,c1.free,c2.self,c2.intel,c2.acc,c2.fair,c2.just,c2.free,gender,educ,bmonth,byear,politicalid,lookup,comments,condition,attr.cond
1,Start Date,End Date,Response ID,Please enter your Worker ID.,"Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of male pilots communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of male flight attendants communicate with air traffic control during a flight?","Imagine a man and a woman who both work for the same airline in the United States.



One of these two people is a pilot. The other person is a flight attendant.
 

But you don't know which person has which job.



Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.



One of these two people is a pilot. The other person is a flight attendant.
 

But you don't know which person has which job.



Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess.
 

The man recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess.
 

The man recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the woman is the pilot and the man is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant.
But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant.
But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. 


The man recently communicated with air traffic control during a flight.

Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. 


The man recently communicated with air traffic control during a flight.

Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the woman is the pilot and the man is the flight attendant?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of male pilots communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of male flight attendants communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of female pilots communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of female flight attendants communicate with air traffic control during a flight?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. 


The woman recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. 


The woman recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the woman is the pilot and the man is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess.
 

The woman recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess.
 

The woman recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the woman is the pilot and the man is the flight attendant?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of female pilots communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of female flight attendants communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of male pilots communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of male flight attendants communicate with air traffic control during a flight?","Imagine a man and a woman who both work for the same airline in the United States.



One of these two people is a pilot. The other person is a flight attendant.
 

But you don't know which person has which job.



Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.



One of these two people is a pilot. The other person is a flight attendant.
 

But you don't know which person has which job.



Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess.
 

The man recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess.
 

The man recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the man is the pilot and the woman is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant.
But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant.
But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. 


The man recently communicated with air traffic control during a flight.

Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. 


The man recently communicated with air traffic control during a flight.

Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the man is the pilot and the woman is the flight attendant?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of male pilots communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of male flight attendants communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of female pilots communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of female flight attendants communicate with air traffic control during a flight?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. 


The woman recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. 


The woman recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the man is the pilot and the woman is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess.
 

The woman recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess.
 

The woman recently communicated with air traffic control during a flight.



Please answer both questions below. Make sure your answers add up to 100%. - Now what is the percentage chance that the man is the pilot and the woman is the flight attendant?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of female pilots communicate with air traffic control during a flight?","Please guess the answers to the questions below. Remember to just tell us what you think!
Tell us what you think by clicking on the circle and dragging it to the answer you'd like to give. - In the United States, what percentage of female flight attendants communicate with air traffic control during a flight?","A man recently performed surgery on a patient.
 

A woman recently performed surgery on a patient.
Which of the following statements do you agree with?",How intelligent is Person X's statement?,How accurate is Person X's statement?,How fair is Person X's statement?,How just is Person X's statement?,"Previously, you learned about Person X, who made the following statement:
""Even though the man and the woman both performed surgery, the man is MORE likely to be a doctor than the woman.""
What impression do you have of Person X and/or the statement this person made?","A woman recently performed surgery on a patient.
 

A man recently performed surgery on a patient.
Which of the following statements do you agree with?",How intelligent is Person X's statement?,How accurate is Person X's statement?,How fair is Person X's statement?,How just is Person X's statement?,"Previously, you learned about Person X, who made the following statement:
""Even though the woman and the man both performed surgery, the woman is LESS likely to be a doctor than the man.""
What impression do you have of Person X and/or the statement this person made?",What is your gender?,What is your highest level of education?,In which month were you born?,In which year were you born?,Which of the following best describes your political identity?,"Using Google or another Internet search engine, did you look up any of the answers to the questions we asked you?",Do you have comments about the survey you'd like to share?,condition,attr.cond
2,"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_3""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID68_2""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID69_3""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_3""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID73_2""}","{""ImportId"":""QID132""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121_TEXT""}","{""ImportId"":""QID124""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID131_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""condition""}","{""ImportId"":""attr.cond""}"
3,6/3/17 11:22,6/3/17 11:26,R_2SwcBGClkyshk2o,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,100,0,100,100,,,,,,,3,7,7,7,7,,,,,,,,,20,2
4,6/3/17 11:33,6/3/17 11:34,R_1I4WzlLar0UFrrz,test,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2
5,6/3/17 13:48,6/3/17 13:50,R_4T2BkPoc8pgUcFj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,19,1
6,6/4/17 12:59,6/4/17 13:03,R_11cGo9BlSmdGtIc,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,92,31,,,,,,,,,,,,,,,,,,,3,7,7,7,7,test,2,,,,,,,14,2
7,6/4/17 13:04,6/4/17 13:06,R_2doOeZUFR8QUwrq,test,,,,,,,0,100,0,100,58,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,test,,,,,,,,,,,,,,2,1
8,6/4/17 13:06,6/4/17 13:08,R_2R98dFOapsduIcj,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
9,6/4/17 13:08,6/4/17 13:10,R_217BbBjoXMcxeuK,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,62,27,,,,,,,,,,,,,,,,,,,,20,1
10,6/4/17 13:10,6/4/17 13:13,R_2qwsxuqJ2H06H4T,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2,100,0,100,0,,,,,,,1,7,7,7,7,test,,,,,,,,,,,,,,19,1
